---------------------------------
    Results for GMC_10075_G5_5uM_Day6.avi 
---------------------------------
Raw data:
Particle    BPM    Bend Measure    Speed    Area    Appears in frames    Region
487    43.014706    2.432967    0.020607    0.009317    264    all
488    0.694444    3.255706    0.022463    0.010164    422    all
489    51.470588    1.845954    0.019403    0.007381    200    all
490    26.582278    3.769063    0.004447    0.006413    389    all
491    0.349650    2.936119    0.001075    0.003872    848    all
492    55.555556    1.557396    0.017150    0.008470    217    all
493    51.674641    3.113362    0.024630    0.008470    200    all
494    28.934010    2.125720    0.006330    0.007381    288    all
495    26.605505    3.353356    0.015552    0.004719    638    all
496    6.557377    3.461239    0.001312    0.008591    338    all
497    33.802817    1.931160    0.017724    0.008591    1063    all
498    19.095941    2.732841    0.001319    0.010406    1082    all
499    20.984456    3.264699    0.015809    0.009317    356    all
500    31.457801    1.948157    0.015258    0.006413    378    all
501    47.812500    0.923820    0.019911    0.007986    617    all
502    35.873388    2.227917    0.023088    0.008107    852    all
503    34.615385    3.112351    0.015829    0.009196    529    all
504    47.169811    2.451729    0.023801    0.009559    297    all
505    28.923767    2.719875    0.019202    0.005566    441    all
506    7.602339    4.202053    0.008151    0.008954    484    all
507    50.239234    3.919627    0.026707    0.007381    205    all
508    19.396552    1.284275    0.023631    0.006050    456    all
509    27.906977    2.953546    0.021136    0.009196    363    all
510    55.976676    0.303050    0.021026    0.010164    327    all
511    68.674699    3.806249    0.039954    0.010527    250    all
512    49.492386    1.272020    0.029943    0.005324    370    all
513    32.957746    3.333071    0.020494    0.008833    349    all
514    43.106796    3.092755    0.015894    0.004598    465    all
515    25.403226    1.636440    0.010586    0.006897    240    all
516    7.287449    1.943561    0.001644    0.009075    239    all
517    32.432432    2.992880    0.028331    0.008349    398    all
